N,sentence
1,"De conformidad al artículo 118 de la Constitución Política del Estado, me dirijo al país al cumplir un año y cuatro meses al frente del gobierno, para hacer un balance del  camino  recorrido  hasta  hoy  y  compartir  con  todos  los  peruanos  las  próximas acciones en el marco de la ruta trazada y expresada en los cinco ejes de nuestra política de gobierno."
2,"Conscientes del enorme desafío, en estos dieciséis meses hemos logrado conducir una transición ordenada y pacífica dentro de los cauces legales y constitucionales."
3,"En  el  Perú  no  se  produjo  un  escenario  de  convulsión  social  ni  política,  como  ha ocurrido en otros países en similares situaciones."
4,"Por eso, no solo hemos garantizado una transición democrática sino, escuchando el clamor de la ciudadanía, hemos emprendido las reformas judicial y política, y una lucha frontal contra la corrupción y la impunidad."
5,Desde un inicio tuvimos claro que esta  no  era  una  tarea  sencilla.
6,"El objetivo común es generar instituciones sólidas, representativas y confiables, que promuevan un crecimiento equitativo, competitivo y sostenible, y nos permita cerrar brechas  sociales  y  de  infraestructura."
7,"Por  eso,  hoy  anunciaré  un  conjunto  de medidas para impulsar el crecimiento productivo y el progreso del país."
8,El  mayor  desafío  que  nos  puso  la  historia  no  solo  es  continuar  un  período  de gobierno.
9,"Este crecimiento fue posible a pesar de los graves actos de corrupción que venimos enfrentando, que han generado —tenemos que decirlo con claridad— desconfianza, pero gracias a la voluntad y las enormes capacidades productivas del país lo estamos revirtiendo."
10,"En el contexto internacional, este año el Fondo Monetario Internacional ajustó a la baja  el  crecimiento  del  PBI  mundial  para  el  2019."
11,Este  menor  crecimiento  de  la actividad económica global se da en un contexto de intensificación de las tensiones comerciales entre China y Estados Unidos y las crecientes tensiones geopolíticas.
12,"El Perú está integrado al mundo y, por tanto, sufre los impactos de la desaceleración económica mundial."
13,Tenemos  claro  que  nuestra  economía  debe  mejorar  su  potencial  de  crecimiento para  acortar  las  distancias  con  los  países  desarrollados.
14,"Ello  se  ha  hecho  efectivo  en  las  últimas  semanas,  cuando  hemos  aprobado  una serie de medidas que promoverán de manera decidida las inversiones en el sector Forestal,  Acuicultura  y  Turismo."
15,"En segundo término, para mejorar la competitividad del Perú se requiere de medidas transversales  que  busquen  el  mismo  objetivo:  remover  las  barreras  y  facilitar  la inversión en nuestro país que genere empleo de calidad y mayores ingresos para nuestra población."
16,"Por ello, el año pasado aprobamos, por primera vez en el Perú, una  política  de  competitividad  y  productividad  que  identificó  nueve  áreas  a  ser articuladas por el sector público y privado, y con amplios espacios de diálogo que le darán sostenibilidad."
17,"Después de seis meses de un trabajo intenso, donde se han realizado decenas de reuniones,  hoy  hemos  publicado  en  el  diario  oficial  El  Peruano  el  Plan  de Competitividad  y  Productividad  2019-2030,  el  cual  incluye  un  primer  grupo  de ochenta y cuatro medidas específicas en las nueve áreas, y que estamos seguros impulsarán la competitividad y productividad de nuestra economía para lograr tasas de crecimiento mayores al 5%."
18,"Asimismo, hemos publicado el día de hoy el Plan Nacional de Infraestructura, en el que se incluye más de cincuenta grandes proyectos por casi 100,000 millones de soles, cuya ejecución nos permitirá empezar a cerrar las brechas de infraestructura."
19,"Lo novedoso del plan no es solo la priorización necesaria para alinear los mensajes entre los sectores público y privado, sino el enfoque territorial que le hemos dado."
20,"El  Plan  Nacional  de  Infraestructura  es  un  paso  importante  en  favor  de  nuestra competitividad  y  complementará  a  los  planes  sectoriales  de  infraestructura  que vienen  ejecutado  los  ministerios  y  gobiernos  regionales  y  locales,  así  como  los grandes  esfuerzos  que  estamos  llevando  a  cabo  para  mejorar  la  infraestructura social de educación, salud, agua potable y saneamiento."
21,"También hemos aprobado la Política de Inclusión Financiera, elemento necesario para  facilitar  la  financiación  y  el  ahorro  en  sectores  que  no  tienen  normalmente acceso al crédito ni al sistema financiero en general."
22,"PBI el año 2018, revirtiendo la tendencia, observada en los tres últimos años, a la  baja  en  la  recaudación."
23,"Para  este  año  2019  se  espera  mantener  la  tendencia creciente  de  la  recaudación,  lo  que  significará  un  ingreso  de  más  de  112,000 millones de soles."
24,"Como resultado de la mejor gestión tributaria, la Sunat, durante el año pasado, logró recuperar 1,980 millones de soles de deuda de ejercicios anteriores, lo que significó un crecimiento del 120% respecto del año anterior."
25,"Dicho resultado positivo también se muestra en este año, dado que a junio el monto de recuperación de dicho tipo de deuda llega a más de 2,000 millones de soles con tan solo seis meses de ejecución."
26,"Asimismo, quiero destacar la importancia de la puesta en funcionamiento del Fondo Crecer, que cuenta con más de mil millones de soles y es una herramienta que nos permitirá  mejorar  el  acceso  al  financiamiento  de  micro  y  pequeñas  empresas  a través  de  préstamos  o  garantías."
