N,sentence
1,"Este número es importante, pero insuficiente, dada la gran necesidad de titulación que existe en el Perú."
2,Tenemos  mayor  celeridad  en  procesos  contenciosos  administrativos judiciales gracias a la eliminación de la emisión del dictamen fiscal.
3,"Hoy  Lima  2019  está  cambiando  positivamente  la  forma  en  que  se  realizan,  se disfrutan  y  se  organizan  eventos  deportivos  en  el  Perú."
4,"Por ello, la descentralización ha sido, es y seguirá siendo nuestro sello de gobierno."
5,Durante el 2018 el PBI del sector agropecuario creció 7.
6,Algunas  autoridades  del  más  alto  nivel  nos estaban robando el país.
7,"Sin embargo, la norma que la rige tiene cerca de treinta años de vigencia, y se hace necesario actualizarla para  que  se  adecúe  a  nuestra  realidad,  brindando  un  marco  legal  claro  a  los inversionistas, y dando tranquilidad y desarrollo para todos."
8,"Hoy  el  Perú  ya  cuenta  con  un  nuevo  y  moderno  Centro  de Operaciones  de  Emergencia  Nacional  (COEN),  en  el  distrito  de  Chorrillos, inaugurado hace escasamente diez días."
9,Es la voluntad de un pueblo valiente y luchador que alienta y estimula la construcción de un verdadero Estado de derecho.
10,"Mi gobierno ha dispuesto el “Acceso Universal en Salud”, para todos los peruanos y peruanas."
11,"Uno de los objetivos de este gobierno es entregar el Museo Nacional de Arqueología (MUNA) que se viene construyendo en Pachacamac, y que ya se proyecta como el más imponente de América Latina, con capacidad para recibir hasta 15,000 visitas por día y albergar todas las colecciones museográficas del Perú."
12,Es nuestro compromiso con  el  Perú  del  Bicentenario  construir  un  país  con  instituciones  sólidas  y transparentes.
13,Muchas gracias.
14,"Este año hemos aprobado el nuevo “Plan Nacional de Seguridad Ciudadana 2019- 2023”,  con  un  enfoque  descentralizado,  que  impulsa  la  unión  de  esfuerzos  y recursos de los tres niveles de gobierno."
15,"Esto implica no solo consolidar el desarrollo del sector agroexportador y minero que han venido sosteniendo  el  crecimiento  y  la  generación  de  empleo  en  los  últimos  años,  sino, además, facilitar las inversiones en otros sectores."
16,Será como el nuevo Qhapaq Ñan del siglo XXI.
